StudentID,TotalNumberOfSemestersRegistered,Semester,NumCoursesTakenInTheSemester
0001, 2, 1, 1
0001, 2, 2, 1
0007, 2, 1, 7
0007, 2, 2, 3
0008, 3, 1, 8
0008, 3, 2, 3
0008, 3, 3, 1
0009, 3, 1, 7
0009, 3, 2, 8
0009, 3, 3, 2
0011, 3, 1, 6
0011, 3, 2, 5
0011, 3, 3, 1
0013, 1, 1, 9
0018, 2, 1, 9
0018, 2, 2, 6
0021, 2, 1, 9
0021, 2, 2, 7
0024, 3, 1, 8
0024, 3, 2, 5
0024, 3, 3, 1
0027, 3, 1, 7
0027, 3, 2, 1
0027, 3, 3, 1
0030, 1, 1, 1
0032, 2, 1, 3
0032, 2, 2, 1
0034, 2, 1, 8
0034, 2, 2, 1
0037, 1, 1, 9
0038, 3, 1, 10
0038, 3, 2, 8
0038, 3, 3, 2
0041, 3, 1, 8
0041, 3, 2, 5
0041, 3, 3, 1
0050, 1, 1, 3
0054, 2, 1, 8
0054, 2, 2, 8
0055, 3, 1, 9
0055, 3, 2, 7
0055, 3, 3, 1
0056, 3, 1, 7
0056, 3, 2, 9
0056, 3, 3, 1
0058, 1, 1, 6
0059, 3, 1, 9
0059, 3, 2, 8
0059, 3, 3, 1
0060, 3, 1, 4
0060, 3, 2, 3
0060, 3, 3, 1
0061, 2, 1, 7
0061, 2, 2, 4
0062, 3, 1, 8
0062, 3, 2, 9
0062, 3, 3, 1
0065, 2, 1, 7
0065, 2, 2, 6
0066, 2, 1, 8
0066, 2, 2, 8
0067, 2, 1, 8
0067, 2, 2, 9
0069, 3, 1, 6
0069, 3, 2, 5
0069, 3, 3, 1
0072, 2, 1, 6
0072, 2, 2, 4
0074, 1, 1, 1
0076, 2, 1, 9
0076, 2, 2, 9
0080, 2, 1, 6
0080, 2, 2, 3
0082, 3, 1, 10
0082, 3, 2, 9
0082, 3, 3, 1
0083, 2, 1, 8
0083, 2, 2, 9
0084, 1, 1, 6
0088, 1, 1, 4
0090, 3, 1, 8
0090, 3, 2, 6
0090, 3, 3, 1
0092, 4, 1, 9
0092, 4, 2, 8
0092, 4, 3, 1
0092, 4, 4, 2
0100, 2, 1, 9
0100, 2, 2, 9
0104, 3, 1, 7
0104, 3, 2, 5
0104, 3, 3, 2
0106, 3, 1, 8
0106, 3, 2, 6
0106, 3, 3, 1
0107, 1, 1, 6
0108, 1, 1, 4
0113, 2, 1, 8
0113, 2, 2, 8
0117, 2, 1, 8
0117, 2, 2, 1
0119, 4, 1, 8
0119, 4, 2, 8
0119, 4, 3, 1
0119, 4, 4, 1
0120, 3, 1, 9
0120, 3, 2, 7
0120, 3, 3, 1
0121, 3, 1, 8
0121, 3, 2, 7
0121, 3, 3, 2
0123, 2, 1, 8
0123, 2, 2, 9
0124, 3, 1, 9
0124, 3, 2, 9
0124, 3, 3, 1
0125, 3, 1, 8
0125, 3, 2, 8
0125, 3, 3, 2
0126, 1, 1, 2
0127, 3, 1, 9
0127, 3, 2, 8
0127, 3, 3, 2
0130, 2, 1, 8
0130, 2, 2, 3
0135, 2, 1, 6
0135, 2, 2, 5
0136, 1, 1, 4
0137, 3, 1, 10
0137, 3, 2, 8
